"","dept","comments_RAP","comments_coding_practices","comments_coding_support","comments_survey","comments_other"
"495","Office for National Statistics",NA,NA,"Talks to our teams / divisions",NA,NA
"498","Department for Work and Pensions",NA,NA,"don't know","no","n/a"
"500","Ministry of Justice (excl. agencies)",NA,NA,"Focused training using practical examples",NA,NA
"501","Public Health England",NA,NA,"1) Access to SPSS!, 2) Enough/encouraged/incentivised time to develop SQL & R skills 3) Full-time proper dedicated support to develop SQL & R skills especially with early 'baby steps' 4) lots of clearly documented examples of SQL & R coding & outputs used at work 5) Regular accessible updates on new better ways of doing things at work with SQL & R to spark interest & encourage development of skills 6) Enough analysts to share workload & enable time to develop beyond fire-fighting!","1) Ask more about roles e.g. would expect 'data scientist'/application development roles to need & embrace certain types of programme languages whereas would be interesting to know about 'intelligence analysts' say & proportion time spend on coding 2) Ask about emotions around personal abilities & also perceived future possibilities ","1) I would have previously assumed this survey was not intended for people who do not currently code but as analysts we've been encouraged at work to fill this in. So might help to really push this. 2) Issue is I am almost single-handed in my role which is wide-ranging supporting policy leads, including providing advice and this draws on a long wide-ranging career - so it's not like my distant past where I 'hammered' datasets. The problem is I now feel de-skilled & rather anxious about this in the current climate. So maybe would help to acknowledge that all types/levels of analytical skills are required/valued in analysis & that people might be anxious about lack of coding skills - while also offering more support for those who would like to develop coding skills (or at least develop insights into possibilities where they might manage or commission others) but would only be able to devote part of their work time on this. "
"502","Department of Health and Social Care (excl. agencies)",NA,NA,"Training",NA,NA
"503","Ministry of Justice (excl. agencies)",NA,NA,NA,NA,"Need a way of getting more people in Gov to learn Scala . Training resources are scarce but the language is really important."
"504","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"Not sure",NA,NA
"505","Ministry of Justice (excl. agencies)","I am new to my team, so knowledge of where to find this information is limited",NA,NA,NA,NA
"506","Ministry of Justice (excl. agencies)",NA,NA,"Workshops or talks on different  ways/techniques to use RAP. Will be good to highlight if there is anything that could use RAP that we didn't know about.","Might be nice to ask if there is a coding language that people want to learn for L&D.","I would be interested to know what programming language other people in government use and why. (specifically the use of python in government)"
"508","Home Office (excl. agencies)",NA,NA,"More department wide usage of tools. HO is very silo'd and haphazard about tooling, each team invents their own and it can be frustrating working across areas.",NA,NA
"511","Other",NA,NA,"Good text books. (We tend to work on our own and learn at our own paces, so this would be better than a course)",NA,"There's a perception that there are coders (who are more-or-less professional coders) and non-coders (who just need to write code sometimes). If you are a non-coder then it doesn't matter if your work is sloppy. We need to stress that poor code is like poor spelling and grammar. It shouldn't be accepted even from a non-coder"
"512","Department for Work and Pensions",NA,NA,"A series of accessible training that builds on each module",NA,NA
"514","Public Health England",NA,NA,"Online training to do things like produce pdf files with charts maps etc embeded",NA,NA
"515","Government Digital Service",NA,NA,"More knowledge about RAP and how to employ in current role. ",NA,NA
"517","HM Revenue and Customs",NA,"I don't believe containerisation, converting code into packagers, or continuous integration is appropriate for all projects. Only for a small subset of projects, where they are extremely important. I don't think it would be appropriate to push these approaches too hard.","I think the term RAP is unhelpful as it is not used widely outside of government.",NA,NA
"518","HM Revenue and Customs",NA,"I would use more tools, e.g. CI and virtual environments, if my department made them available for me and my team. ",NA,NA,NA
"520","Department for Work and Pensions",NA,NA,"Signposting to documentation on what RAP is and why important","no",NA
"522","HM Revenue and Customs",NA,NA,NA,"There are many reasons why someone, not in a data analysis or programmer role, might be manipulating and analysing data. This doesn't appear to be captured by this survey.",NA
"524","Home Office (excl. agencies)",NA,"We currently don't have Git installed at HO but I'm working on it!","The necessary IT infrastructure and regular GSS training courses. ",NA,NA
"525","HM Revenue and Customs",NA,NA,"Wider access to Datacamp","N/A",NA
"527","HM Revenue and Customs",NA,NA,"Peer review of code and being able to share code","no","no"
"529","HM Revenue and Customs",NA,"No CI tools available to analysts, but know how to and do use them outside of work","I feel the limiting factor is the platforms we have. Would love to see resources to help analysts/data scientist make procurement of the right tools happen.","Information on analytical platforms and availability of cloud services to data scientists (i.e. we may run a platform within AWS but cannot see the AWS interface or use AWS services)",NA
"530","HM Revenue and Customs",NA,NA,"Extra traing in open source code like R and Python, and then leading on from that training in Git. Also maybe training in what good practices with working with code are as a team

A big limitation in my department is that the data we have access to is so segmentated it requires different systems to access, and therefore you can't consistently code with one language.",NA,NA
"531","HM Revenue and Customs",NA,NA,"Examples of good practice or a place of common errors across government on quality assurance. ","all the different software's available such as R ",NA
"533","HM Revenue and Customs","Although I know who the RAP champion is, I think it is quite new in my department/directorate, so I dont know what resources are available.  Challenging to find the time to learn how work flow should be done. There are still holes in how pipeline can be done so that it is fully reproducible.  E.g. some data sources can only be obtained by using certain software, analysis is then completed in a different software package, so code is all over the place","My department does not have/access to git/github or docker or VMs","Tutorials, Examples, From start to finish, explaining what all the terms mean.  The tools (i.e. software/applications) to be able to do it",NA,NA
"535","HM Revenue and Customs",NA,NA,"More time
BAU work not getting in the way",NA,NA
"536","Other",NA,"They go beyond what is needed for our analysis and we would spend more time upskilling the team to use them than would be saved.","More advocacy for access to software - one of our biggest issues has bee getting the IT team to actually grant access to R/python etc. 
","The level of RAP or other coding proficiency needed by work areas - not all areas will need the full RAP, especially those which tend to do more bespoke/ad hoc analysis",NA
"537","HM Revenue and Customs","Most statistical publications in the department continue to rely on predominantly manual or semi-manual processes and largely rely on proprietary software tools (such as SAS).  Version control and QA in particular are both largely manual.","There is currently much more use of open source software (especially R) in the department than there was five years ago, but take-up has not necessarily taken place at the rate first envisioned when these tools were first made available.  There are many regularly used models that rely on code first written more than a decade ago, and significant inertia to overcome before it is possible to move away from the software tools that were used to build these models.","Analysts who understand existing processes and models currently have very limited time, which prevents them from learning new coding skills or exploring new software tools.  Although new starters may arrive with these skills (from time in education or from other employments), the focus is on teaching them how to use the existing software tools rather than taking advantage of their knowledge of alternatives.  By the time those new starters have become model experts, their original skills have become rusty and they no longer have time to refresh them.  Finding someway to break this cycle seems to be the key challenge to overcome.",NA,NA
"538","HM Revenue and Customs","Too restricted in the software we can use. Focused on delivery with little real commitment to the accuracy, evaluation, or reproducibility of outputs.",NA,NA,NA,NA
"540","Defence Science and Technology Laboratory",NA,NA,"clear local advice on coding best-practice. This should be standardised for the organisation, but also needs interpretation on a local level. time/training needs to be budgeted for people to learn how to do things/follow the guidance - otherwise people just do their own thing.",NA,NA
"541","Other","I'm in a small department and we don't have much capacity. The fact that many statisticians don't know coding means that if we use it they may not be able to maintain it if there are staffing changes.",NA,"Step-by-step guidance on how to use and implement the required tools. Encourage some departments to allow the use of open software (Python, R) for sensitive data.",NA,NA
"542","HM Revenue and Customs","My work is largely one off risk profiles which do not seem as if they would benefit from this approach","With a very old version of SAS Enterprise Guide acting as our primary analytical tool many of these options are not available","training - it is not part of the standard package ","use of agile methodologies",NA
"543","HM Revenue and Customs","Although I've heard about RAP projects, I haven't heard about any central guidance on RAP or what good RAP practice looks like in my department.
My team has discussed RAP for some of our projects, but haven't started implementing this as we don't know where to start.","It would be great to have some resources to learn about these practices and how to apply them consistently. Maybe it's because coding is a minority of my team's work, but I haven't been told about most of these practices or had anyone suggest that I use them. I've either read about them online or just thought they were a good idea.","Some resources on how RAP (and better coding practices generally) can be applied to a range of projects (not just official statistics), e.g. training courses, written tutorials. Also some ""exemplar"" materials about what best practice looks like, e.g. best way to set up directories, handle inputs etc.",NA,NA
"545","HM Revenue and Customs",NA,NA,"Training on how best to use SAS on AWS.",NA,NA
"548","Department of Health and Social Care (excl. agencies)",NA,"We do not have the IT infrastructure to support this. While we do use Open Source software this needs to be ""packaged"" for our environment and so cannot be updated as regularly as OS expects.","Allowing the use of open source software without requiring lengthy approval/packaging processes. Improving technical knowledge amongst analysts.","It would be useful if the survey also considered more OR and Data Science use cases instead of focussing on Stats.","Need some work on design - I know how to code in Java but that isn't available within the department and not used so unclear how I should of filled in the form."
"549","Department of Health and Social Care (excl. agencies)","I think it is important to implement RAP in my work: I think the RAP framework should be used in as much analysis as possible. I currently feel that the work I am doing is very far away from a RAP framework and this is hugely detrimental to the quality of work that is produced.
I feel supported to implement RAP in my work: There is work being done to try to get the department in a place where RAP is possible for analysts, but there is a huge amount that remains to be done. E.g. most analysts cannot access github. I believe there are no business critical analytical models currently running in a RAP framework in DHSC.
I know where to find resources to help me implement RAP: providing access to the toolkits required for RAP to analysts in DHSC is still in its infancy
I and/or my team are currently implementing RAP: we would be if we could.",NA,"Providing all analysts access to git & GitHub.

Training and guidance on hosting analytical models on 
GitHub, e.g. how to handle not being able to host the data on GitHub. There are examples on the DHSC data science GitHub of hosting data scraping etc, but there are no examples of analytical models that are being developed using standard software development tools like git/GitHub.

More managers that know how to code",NA,"Having come from academia (physical sciences not computer science), an environment which often lags behind when it comes to using good coding practice, it was shocking to see how poor the analytical tools used were in the civil service. The decisions made based on huge, unwieldy excel-based models which are completely opaque and impossible to QA properly is terrifying."
"552","Department of Health and Social Care (excl. agencies)",NA,NA,"Online written guides","Technologies used and longed for/wished for, etc like the Stack Overflow annual survey",NA
"553","Cabinet Office (excl. agencies)",NA,NA,"Examples of documentation/templates
Learning opportunities re Git/Github/version control/automatic workflows - a RAP 101 short course maybe?","N/A","N/A"
"555","Department for Business, Energy and Industrial Strategy (excl. agencies)",NA,NA,"Step-by-step instructions on the final stage, deployment of the HTML",NA,NA
"556","HM Revenue and Customs",NA,"I often find myself having to raise awareness of accessible design for assistive technology users, I am a screenreader user who finds ways around problems with basic coding but have to give up when the platform I try to interact with is too complex","Designing and procuring coding platforms that are accessible to visually impaired screenreader users","Whether or not coders and analysts are aware of making their platforms and outputs accessible to a spectrum of users with disabilities","Even today, I face huge barriers to participating in coding so that I can enhance my analytical skills and feel excluded when new poorly designed platforms are released along with poorly designed practical training that are not considerate of disabled participants such as screenreader users."
"557","Department for Environment, Food and Rural Affairs (excl. agencies)","Excel spreadsheet are very much the prefer mode operation with strong resistance to changing",NA,"Access to gitHub better data storage in the department would help with the sell of RAP",NA,NA
"558","Department of Health and Social Care (excl. agencies)",NA,NA,"introductory course",NA,NA
"559","Department for Work and Pensions","I've not had any training on Reproducible Analytical Pipelines so, although I am aware of the basic premise, I am unsure whether I have used any of the methodology in my work.",NA,"Template programs for different software programs might be helpful in exhibiting good coding practice.",NA,NA
"561","Home Office (excl. agencies)",NA,NA,"Don't know what RAP is!
 I think a repository of code would be useful - I'm sure half the stuff I work on has been done somewhere before.",NA,NA
"563","Home Office (excl. agencies)",NA,NA,"My coding skills are largely self developed/self taught.  I know that my code is very poorly written and very repetitive, but I don't know what good practice is or how to improve it.  ",NA,NA
"565","Home Office (excl. agencies)",NA,NA,"showing examples, looking at our data",NA,NA
"567","Home Office (excl. agencies)","I haven't encountered RAP as specific methodology at work (though have heard it mentioned in passing across government). However I'm well aware of the general principle that analysis should be reproducible, and try to ensure all of my team's outputs are. I suspect we follow many of the RAP components without knowing it.",NA,NA,NA,NA
"568","Home Office (excl. agencies)",NA,NA,"An understanding of capabilities so we can see why and how to use RAPs","Maybe a gauge of whether people enjoy/would enjoy developing coding skills. ",NA
"572","Home Office (excl. agencies)","It's buzzwords that appear to be very narrowly focused on coding, without context around use.",NA,"regular, good training courses for coding skills for the various different languages and packages",NA,NA
"573","Home Office (excl. agencies)",NA,NA,"Pay for Udemy courses - these are great",NA,NA
"574","Home Office (excl. agencies)",NA,NA,"help with coding to professional standard.",NA,NA
"575","Home Office (excl. agencies)","We have no operational researchers in our unit, I have been left trying to complete a task on my own that would normally go to a team of operation researchers and consultants in other areas of my department... Likewise when I have tried to look for support from other areas of the office help hasn't been that forthcoming.  It has meant that progress on data modernisation is really slow as I am having to start from base principles and implement as I go along and work stops when have other projects with more immediate need for attention ",NA,"Access to Datacamp or similar online training package - parts of the department have access but there is no uniform access!!!!!  Needs to be more sharing of training resources and likewise a core of people championing training and support across our department.","I think there needs to be some sort of cross government support group for this, or at least one within each department... Seems to be very patchy at moment depending on motivated single individuals supporting others, when they go support  immediately dries up.",NA
"576","Department of Health and Social Care (excl. agencies)","Whilst RAP is very important, I don't feel I currently have the knowledge to implement it. As everything at DHSC happens at pace, these things are often not considered. I don't know where I would find support in implementing RAP in my work.",NA,"More understanding of what is needed and the tools required and how to use them. Training sessions would be so useful.",NA,NA
"578","Home Office (excl. agencies)",NA,"Home Office do not currently have Git which I believe would be very useful","The use of virtual machines and Git",NA,NA
"580","Ministry of Defence",NA,NA,"More case studies, open code, community of practice accross departments","n/a","n/a"
"581","Ministry of Defence",NA,"I am considering implementing drake in some of my projects","We already have a lot of support just need more time/resource to actually do it","no",NA
"583","Ministry of Defence",NA,NA,"internal coding courses (these are offered at present, e.g. for R, but not frequently and often oversubscribed)",NA,NA
"585","Ministry of Defence",NA,NA,"Not sure.","Not sure.",NA
"587","Ministry of Defence","It's good to make your work efficient",NA,"A template or flowchart on steps to implement RAP. Regular usage of coding helps develop skills",NA,NA
"588","Ministry of Defence",NA,NA,"good templates ","about courses ",NA
"589","Home Office (excl. agencies)",NA,NA,"If we could download packages for R and Python

If we could learn about best practice",NA,"good survey, made me look up things"
"590","Home Office (excl. agencies)",NA,NA,"Case studies",NA,NA
"592","Home Office (excl. agencies)","I don't think the resources are widely shared in the departments and I wouldn't know where to go to find them.",NA,"I think some resources and walk throughs of best practice. Identify the people who use it, teach them up and then they can help the people who are just taking up coding.",NA,NA
"593","Ministry of Defence",NA,NA,"A project for them to learn and apply the coding skill",NA,"developing coding skills are important to enhance analysis as well as maintaining good business continuity by keeping good developer audit trail."
"596","Home Office (excl. agencies)",NA,NA,"Some kind of template or meetings with RAP champions to understand how to actually implement RAP. 

We hear a lot about useful it is, but aren't often given the materials to actually implement it ourselves. ","No.",NA
"597","Home Office (excl. agencies)","My current team do not regularly produce statistics and does not have a strong AQA governance procedure.  If I wanted to follow RAP principles I could, but there is no requirement or push to","We are looking to get some of these features available on our systems at some point, so hopefully will be able to start using them","A simple 1 or 2 page guide of the key points and principles that people could refer to",NA,NA
"599","Northern Ireland Statistics and Research Agency",NA,NA,"Coding expertise to consult","No",NA
"602","HM Revenue and Customs",NA,NA,"None RAP is used when appropriate","The kind of products people produce- not everyone is creating Gov stats or Dashboards.",NA
"603","Home Office (excl. agencies)","I feel confident implementing RAP in my work: Wouldn't be confident in implementing a best-practice example. Quite comfortable with Markdown/Jupyter notebook-based end-to-end analytical documentation + embedded code, but low maturity in using within our team.

I and/or my team are currently implementing RAP: Limited use of RAP to deliver analytical projects. Some use of Jupyter notebooks.",NA,"Embedded champion to support across project lifetime inc. coaching and project management integration with RAP principles.","More around how project management and collaboration are facilitated using tools of DS vs. 'MS Office' approach. Use of Jira, Confluence alongside GitLab etc.,","Clear questions that feel like they are getting a good insight to my own and teams working practice + highlighting gaps in RAP best-practice for us to take forward.Thanks."
"604","Office for National Statistics",NA,NA,"training not general but more relevant to our area of work",NA,NA
"606","Home Office (excl. agencies)",NA,NA,NA,"What languages/programmes would you like to have access to that you don't already?",NA
"607","Home Office (excl. agencies)",NA,NA,"Interactive courses to learn about them",NA,NA
"608","Ministry of Defence",NA,NA,"if someone went through codes that are written in the past to show how they work. ",NA,NA
"609","Home Office (excl. agencies)",NA,NA,"Provide full membership access to online learning platforms e.g. DataCamp, Codecademy",NA,NA
"611","Ministry of Defence",NA,NA,"Training and support",NA,NA
"612","Home Office (excl. agencies)",NA,NA,"Help on understand which parts of the stats production process can be wrapped, and seeing examples of it, including the practical logistics side of thing, e.g. what the team had to put in place (agreements, software, etc) and which bits still require human interaction/aren't RAP'ed.",NA,NA
"613","Home Office (excl. agencies)",NA,NA,"More support and people to talk to (rather than volunteers)",NA,NA
"615","Home Office (excl. agencies)",NA,NA,"Make training available and relative to actual work being undertaken.","Probably worth having something on Power BI in here as departments are starting to utilise this more.","n/a"
"617","Home Office (excl. agencies)",NA,NA,"A professional framework of development, targeted at the specialist work my team do. ",NA,NA
"619","Scottish Government (excl. agencies)","I don't have enough knowledge of RAP to be able to implement it in my work and I'm not sure of what resources there are to help implement it. Also, using RAP is complicated by my work including mapping in arcGIS. ",NA,"More information on RAP and resources available. Training sessions. ",NA,NA
"621","Other",NA,NA,"More time to do these things! Training courses - not MOOCs as it's hard to set aside the time for these but dedicated courses with an instructor (can be online).",NA,NA
"622","Home Office (excl. agencies)",NA,NA,"Apprenticeship and buddying up with an experience coder. Setting objectives for underskilled employees to perform and measuring their progress and acting upon the measurement to provide more help if needed.","Higher concept work such as data modelling, UML, requirements gathering and software component use as well as programming patterns used.",NA
"623","Department for Work and Pensions",NA,NA,"training sessions, demonstrations on how the software is used in other places",NA,NA
"624","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"A couple of basic examples of dummy (or real) publications or analysis, with all steps shown.  ",NA,NA
"625","Other",NA,NA,"Time to learn new skills and the right opportunities.",NA,NA
"627","Office for National Statistics",NA,NA,"teaching session ","ask how much training there is/allowed to do with current workload",NA
"628","Office for National Statistics",NA,NA,"Introductory training",NA,NA
"629","Office for National Statistics",NA,NA,"Opportunities to practice",NA,NA
"630","Office for National Statistics",NA,NA,"More support from senior members of team to implement RAP.",NA,NA
"631","Office for National Statistics","It's a term I have heard but don't understand in practice. I am early on in my coding experience, so suspect this is a reflection of that!",NA,"More basic explanation of RAP at the very start, and examples of good practice. Often when people are new to coding (like me), people forget that basic terms are unfamiliar to us!",NA,NA
"632","HM Revenue and Customs",NA,NA,"More structured / better resourced training within our department. We have a lot of scattered knowledge and a hearty appetite for sharing knowledge, but demand quickly outstrips supply (usually not helped by high staff churn)",NA,NA
"633","Office for National Statistics",NA,NA,"Regular training courses","no","no"
"634","Office for National Statistics",NA,"no","Courses to introduce this",NA,NA
"635","Office for National Statistics",NA,NA,"- Workshops/seminars to keep up to date with recommended implentations such as RAP/version control/...",NA,NA
"636","Office for National Statistics",NA,NA,"Regular training sessions using examples relevant to my work",NA,NA
"637","Office for National Statistics","I have little understanding of RAP at this moment and little knowledge in coding.",NA,"To have a level of coding knowledge related to the work role that RAP can be used alongside ",NA,NA
"638","Office for National Statistics",NA,"I think you don't cover some of the tooling thats python specific but is core to the python experience - things like the tools described here https://cjolowicz.github.io/posts/hypermodern-python-01-setup/ 

","Discipline and enforcement from the top of my organisation of standardised working and development practices in order to make sure that people use the same tools. It doesn't help when someone uses proper RAP procedure and there is no way to make sure everyone is on the same page and you get people using different tools and just general pandemonium and fragmentation takes hold. There needs to be a change in culture and an enforced culture of RAP, otherwise you end up in a very inconsistent position. ","- more programming languages
- questions about the coding paradigms that people use
- coverage of cloud RAP processes 
- questions about how people integrate RAP into data science processes 
","I think programming in government has been way to often a grass roots campaign of people wanting to introduce this type of RAP and coding to government and ensure that we aren't behind the private sector. Now we have more 'nominal' buy in from upper leadership. I would love that to translate into actual support and enforcement of these tools and techniques from top down. Standards only work if everyone uses them, and without common understanding of why RAP is important and without someone there to oversee its widespread use you end up with fragmentation. 

Spend money to teach people properly by people who themselves use this stuff and someone who knows how to code, make sure that knowledge gets applied, and make sure everyone is on the same page about the tooling."
"641","Office for National Statistics",NA,NA,"Direct support demonstrating how they can be applied to our specific workstreams","What are the barriers and blockers you have to coding in your role - what would help improve own abilities.",NA
"643","Office for National Statistics",NA,NA,"More training, more work",NA,NA
"645","Office for National Statistics",NA,NA,"Additional training",NA,NA
"646","Office for National Statistics",NA,NA,"Clear guidance, and support when needed (someone to answer questions)",NA,NA
"647","Office for National Statistics",NA,"It is extremely rare for me to use coding in my current role, hence my answers.","More courses made available, more time out of our day job to learn coding skills. More integration of coding with our day jobs.","You ask a lot about my current role. I learnt coding in education but those skills are not current. You could ask how much knowledge people currently have of coding and what level they are.",NA
"648","Office for National Statistics",NA,NA,"Having an official document accessible via Reggie","N/A",NA
"649","Public Health England","I feel like we have had a webinar on this topic, but it would take me some time to find the resources I need.",NA,"Work throughs relevant to the data we use, especially in the beginnings of learning things. It is easier to see how something can be put into practice when it is in the context of the subject you work in e.g. health/tax/travel",NA,NA
"650","Office for National Statistics","Not currently implementing RAP, but doing something similar currently without it being called RAP",NA,NA,NA,NA
"652","Office for National Statistics",NA,NA,"Get to understand the fundamentals better","na","na"
"653","Office for National Statistics",NA,NA,"Signposting to any existing support.",NA,NA
"654","Office for National Statistics","Strongly disagree and disagree responses as I do not currently work in an area producing any outputs RAP is applicable to ","for question 16 and 17 I don't use coding enough to be able to answer these questions appropriately","for coding standards and RAP being more encouraged as standard practice rather than a nice to have.",NA,NA
"657","Office for National Statistics",NA,NA,"formal training events",NA,NA
"658","HM Revenue and Customs",NA,NA,"Examples of its uses in government/Online showcase/Video tutorials/Blogs",NA,NA
"659","Office for National Statistics",NA,NA,"Good coding courses","no",NA
"660","Office for National Statistics",NA,NA,"appropriate training",NA,NA
"661","NHS","RAP isn't part of my project.",NA,NA,NA,NA
"662","Other",NA,NA,"Training in version control, unit testing and continuous integation",NA,NA
"665","Office for National Statistics",NA,NA,"don't know","I've just started learning - maybe ask how long they've been in their role?",NA
"666","Office for National Statistics",NA,"no",NA,"don't know","no"
"668","HM Revenue and Customs","I do not use R enough currently to implement RAP, as far as I understand. Since I am not heavily involved in coding work, I am not sure where to find the resources about RAP, but I do also understand that it is important for coding best practices (and since I hope to write more code going forward I would like to understand more)","It would be great if resources regarding everything in this section were available so that I can learn about it in advance of using more code in my future work.","Online learning, example projects with the various elements encompassed, example code",NA,NA
"670","NHS",NA,NA,"Specialised NHS standards for RAPs.","Work time given over to contributions to open-source projects.",NA
"672","Office for National Statistics",NA,"We work on a lot of small JavaScript visualisation projects, often with quick turnaround, so we find it difficult to build proper version control and code review into our processes.","skill sharing on best JavaScript/front end best practice","Asking people what they feel like they need rather than what they know/have access to.",NA
"675","Office for National Statistics",NA,NA,"Dedicated time to be able to do it.",NA,NA
"677","Department for Transport (excl. agencies)","Not something I could personally do","I can't really answer these properly as I don't personally do much coding any more","Managers' introduction to different coding approaches and RAP. ","Think you need an option for people like me who manage staff who program, but who don't personally do it (or only in a minimal way). ",NA
"678","Other",NA,NA,"Identifying areas where we could implement RAP and also more about RAP, benefits and how to implement it",NA,NA
"680","Office for National Statistics","For some of these - not in  my current role - in question design, but would promote to others. So more an N/A response.","I don't use them in my current role because i don't code. I'm aware of what is available and could up skill to use if needed.","N/A  in this role","Be more explicit about if you don't use something because it's not needed in your role or because you choose not to.

I also think i can edit/read code better i can than write it from scratch - would that be interesting to capture,",NA
"681","Home Office (excl. agencies)","Rightly or wrongly, RAP does not currently have sufficient profile and authority to be accepted as the ""one and only"" way to do best practice in analytical coding. The ""survey"" at this point is starting to read a little more like ""advocacy"" for RAP, which I find mildly objectionable.","Since having greater exposure to software engineering I initially sought to introduce some of these practices into my work. However I am having second thoughts! I had started to write code that was over-engineered. These practices have their place, especially in large or frequently re-used systems, but in much of our day-to-day analytical work I am tending to conclude they are inappropriate.
",NA,NA,NA
"684","Department for Transport (excl. agencies)",NA,NA,"Cross-government examples and guidance.",NA,NA
"686","Scottish Government (excl. agencies)",NA,NA,"courses in how to use code and which would be best for data analysis and report production",NA,NA
"689","National Records of Scotland","It's not come up in work. ",NA,"Training, regular check ins",NA,NA
"690","Scottish Government (excl. agencies)","My team were looking to implement RAP but the project got put on hold due to COVID workload",NA,"Good written sources and examples","Preferred coding language and reasons - e.g. a lot of SAS use is due to legacy code",NA
"691","Scottish Government (excl. agencies)",NA,"They appear very focussed on certain languages and areas and not relevant to my work. ","Understanding that coding courses geared to Grade 7 and above collegues is necessary and freeing enough of their time to attend. 

Worked examples and tutorials for open source languages like R which show the departments own approach and only reference approved and accessible packages - it's very easy to find R tutorials that look great but can't be run because they have dependancies on packages we don't have.

",NA,NA
"694","Scottish Government (excl. agencies)",NA,NA,"1) We do not have accessibility to a server that runs version control client, and I am limited to running git locally. Availability of git server would enable collaborative version control. 
2) Knowledge sharing across analysts in government of RAP best practice 
3) An approach that will enable all analysts to have access to the necessary tools without having to convince local IT departments.
",NA,NA
"699","National Records of Scotland",NA,NA,"Some organisation to this. It's a complete free-for-all at our organisation, perhaps as we're a non-governmental arms-length department of the government. An RAP champion who actively engages with us. Some official guidelines and training on coding practices.","You asked if software is available - but not if we've had the training to use it. Additionally we technically have the bare-bones software for R and Python, but not enough for what we need to do (e.g. the right packages, access to a server which can run Shiny for data visualisation, etc.","I would love to switch to open-source programming if we had access to the right software and if we had the time and support to translate our existing code. We have a lot of legacy code which is written in SAS, so we're tied in to renewing SAS licenses and training every single person who comes in how to code in SAS, despite many of them understanding R from university. It could save us a lot of money to switch to open source languages, as there's more choice on who to pay for technical support. Think how many extra analysts we could employ! Coding in R and Python are much more transferrable skills too, whereas SAS is only useful if the department/organisation you move to also pays for SAS."
"701","Public Health England","Lack of resources and skills available to team are delaying implementation of RAP.",NA,"Extra resources to develop or validate code.",NA,NA
"703","Ministry of Housing, Communities and Local Government (excl. agencies)","I have never heard before of RAP so I don't know which can be its components. Therefore I cannot feel confident in implementing it. My coding skills have always been overlooked  so I don't feel supported and I don't know where to find resources to implement RAP.","Please let me know how to learn these best practices","Have a directorate who values insight gaining from data rather than data visualisation. Have more opportunities to engage with other analysts and have our department focused more on the production of analytical work rather than on the production of economic assessments. ",NA,NA
"704","Other",NA,NA,"Training budget to learn RAP best practices in online courses and tutorials.","How much and what kind of training are members undertaking.",NA
"708","HM Revenue and Customs",NA,NA,"Library of example code to build my knowledge on",NA,"There's an assumption that anyone coding has a mathematical background."
"710","Other",NA,NA,"All I know is that any training I have received to date has been unhelpful for me personally (two different SAS courses - internal and external - have not rendered SAS penetrable in any useful way). Therefore, I am disinclined to engage with opportunities to expand my knowledge since a) I'll probably be wasting time and resources on these attempts; b) others would evidently thrive in this area more than me (and therefore be given more relevant work going forward).

",NA,"I don't really understand why coding (beyond use of excel formulae) is used by economists. 

Surely need for coding should be a sign that statisticians should be stepping in to do that work for us and we should be interpreting the outputs. 

Or perhaps there should be a coding specific profession which would avoid people more competent than me having to pick up coding on an irregular basis and spend an inefficient amount of time training."
"711","Other","I know we should be using RAP but we've not had time to investigate this yet.  Its something we hope to look into in the near future.",NA,NA,NA,NA
"712","Other","Work is time sensitive and often don't have time to write efficient code which includes functions and testing. Code is often written for ad hoc requests then never/rarely used again ",NA,"Examples of RAP code and training sessions/walk through how to do things because sometimes its hard to understand things by just reading documentation ",NA,NA
"715","HM Revenue and Customs",NA,"I think i have answered No to most of these questions because i think they are more applied in R than SAS (e.g. the packages), which is where I do most of my coding.","R training. My team mainly uses SAS.",NA,NA
"718","Scottish Government (excl. agencies)",NA,NA,"Move from SAS to R. This would require nudging managers who aren't familiar with these technologies to invest in upgrading tools",NA,NA
"719","Scottish Government (excl. agencies)",NA,NA,"Structured training
Web hosts for shiny apps / compatibility with website",NA,NA
"720","Welsh Government","I'm not sure how to go about implementing RAP in my work.",NA,"To have help to make plans about how RAP/coding can be used in your specific work area.",NA,NA
"724","Office for National Statistics",NA,NA,"As we are a research area, we rarely need to go as far as a RAP. We produce functionalised, well tested code, but there would be little benefit to us of putting this in a pipeline as the code changes so regularly.
A greater number of more advanced training sessions would help my team advance. We are largely self-taught and while the ONS Learning Academy provide a good selection of basic courses, there is little provision once you get past proficient. It is often the case that we don't know what we don't know.",NA,NA
"725","Office for National Statistics",NA,NA,"Training and ongoing coach / mentor",NA,NA
"726","Welsh Government",NA,NA,"Some additional training to help with implementing this however the team is currently extremely busy so time would have to be made to do this.",NA,NA
"727","Welsh Government",NA,NA,"Advice and guidance on how to do it/potential loans or placements to help implement","N/A",NA
"728","Cabinet Office (excl. agencies)",NA,NA,"Teach-in session",NA,NA
